signal_id,entry_time,entry_price,exit_time,exit_price,direction,quantity,stop_loss_price,take_profit_price,exit_reason,entry_fee,exit_fee,equity_before,equity_after,pnl,pnl_pct,r_multiple
2020-01-03T15:45:00+00:00,2020-01-03T16:00:00.000000+0000,7323.830085,2020-01-03T21:45:00.000000+0000,7266.382383587916,long,0.6940789551849484,7270.017392284058,7420.505215431886,stop_loss,5.083316333348892,5.043443092775015,10000.0,9950.0,-49.99999999999999,-0.009836098468233623,-0.9999999999999999
2020-01-03T23:15:00+00:00,2020-01-03T23:30:00.000000+0000,7340.138234999999,2020-01-04T01:15:00.000000+0000,7281.798952503585,long,0.6818690835422742,7285.441673340254,7436.936653319491,stop_loss,5.005013331373056,4.965233578282711,9950.0,9900.25,-49.75,-0.009940033463677464,-1.0
2020-01-04T02:00:00+00:00,2020-01-04T02:15:00.000000+0000,7317.2868149999995,2020-01-04T18:30:00.000000+0000,7387.593146748026,long,0.7947577920612028,7273.225604428201,7391.288791143597,take_profit,5.81547071296795,5.871347217955934,9900.25,9944.43968705706,44.189687057060034,0.007598643211893615,0.8926984077585927
2020-01-04T19:30:00+00:00,2020-01-04T19:45:00.000000+0000,7343.019675,2020-01-05T01:15:00.000000+0000,7418.860949807788,long,0.7862800031045738,7298.068882037124,7422.57223592575,take_profit,5.773669532855946,5.833302010647269,9944.43968705706,9992.465193304879,48.02550624781922,0.008318021316343576,0.9658765653800613
2020-01-05T07:30:00+00:00,2020-01-05T07:45:00.000000+0000,7463.259765,2020-01-05T08:45:00.000000+0000,7425.67380862867,long,0.9521187375319906,7429.38850288011,7521.132994239781,stop_loss,7.105909465325101,7.070123171995897,9992.465193304879,9942.502867338355,-49.962325966524396,-0.0070310952046781505,-1.0
2020-01-05T11:30:00+00:00,2020-01-05T11:45:00.000000+0000,7438.457369999999,2020-01-05T21:30:00.000000+0000,7402.359810787142,long,0.9759344104829896,7406.0628422082455,7492.484315583509,stop_loss,7.259446508293799,7.224217658123524,9942.502867338355,9892.790353001663,-49.712514336691775,-0.006847975844976066,-1.0
2020-01-06T01:30:00+00:00,2020-01-06T01:45:00.000000+0000,7391.2938,2020-01-06T02:00:00.000000+0000,7452.479841274715,long,0.8767820452096613,7353.296027376332,7456.207945247338,take_profit,6.4805536947094895,6.534200517116616,9892.790353001663,9933.422421196963,40.63206819530093,0.006269845156667958,0.8214480797720004
2020-01-06T08:00:00+00:00,2020-01-06T08:15:00.000000+0000,7529.072655,2020-01-06T13:45:00.000000+0000,7488.864598966777,long,0.8993430294264223,7492.610904418986,7590.948191162028,stop_loss,6.771219010319336,6.73505817539907,9933.422421196963,9883.755309090979,-49.667112105984806,-0.0073350325887099705,-0.9999999999999999
2020-01-06T14:30:00+00:00,2020-01-06T14:45:00.000000+0000,7555.55589,2020-01-06T22:15:00.000000+0000,7637.038407247632,long,0.7285475728536461,7506.535581667019,7640.858836665964,take_profit,5.50458190521957,5.563945795390338,9883.755309090979,9932.050671561137,48.29536247015784,0.008773665884481268,0.977267464841754
2020-01-07T05:15:00+00:00,2020-01-07T05:30:00.000000+0000,7874.9355,2020-01-07T13:00:00.000000+0000,7811.992802727448,long,0.6315717898244559,7815.900753104,7981.198493792001,stop_loss,4.973587108487147,4.933834276514343,9932.050671561137,9882.390418203331,-49.660253357805686,-0.009984796139000612,-1.0
2020-01-07T14:15:00+00:00,2020-01-07T14:30:00.000000+0000,7879.227645,2020-01-07T15:00:00.000000+0000,7825.150868980575,long,0.7080988043464128,7829.065401681415,7967.9791966371695,stop_loss,5.5792716745977025,5.540979974155439,9882.390418203331,9832.978466112314,-49.411952091016666,-0.00885634451464125,-1.0000000000000002
2020-01-07T16:00:00+00:00,2020-01-07T16:15:00.000000+0000,7856.76642,2020-01-07T18:15:00.000000+0000,7973.201797768576,long,0.5741851219255968,7790.679803517472,7977.190392965059,take_profit,4.511238384808634,4.578093846389138,9832.978466112314,9890.74459546162,57.76612934930523,0.012804938338844989,1.1749467274516334
2020-01-07T22:30:00+00:00,2020-01-07T22:45:00.000000+0000,8049.40269,2020-01-08T00:00:00.000000+0000,8222.405001985726,long,0.4316483821309375,7954.810869441858,8226.518261116284,take_profit,3.474511648258916,3.5491878163324664,9890.74459546162,9958.39706407058,67.65246860895896,0.019471072616164556,1.3679954619392634
2020-01-08T03:30:00+00:00,2020-01-08T03:45:00.000000+0000,8325.270555000001,2020-01-08T14:00:00.000000+0000,8199.312635271704,long,0.3494603498705388,8203.414342442926,8557.161315114146,stop_loss,2.9093519609171956,2.865334662219979,9958.39706407058,9908.605078750226,-49.79198532035291,-0.01711445916108947,-1.0000000000000002
2020-01-08T15:30:00+00:00,2020-01-08T15:45:00.000000+0000,8329.512675,2020-01-08T16:15:00.000000+0000,8237.753398481886,long,0.4573489027572323,8241.87433564971,8492.241328700578,stop_loss,3.8094934824137088,3.7675274779803516,9908.605078750226,9859.062053356476,-49.54302539375112,-0.013005147698103027,-0.9999999999999999
2020-01-08T22:45:00+00:00,2020-01-08T23:00:00.000000+0000,8080.168065,2020-01-09T00:00:00.000000+0000,7986.131537798692,long,0.4477206598381708,7990.126601099241,8248.136797801517,stop_loss,3.6176581776651155,3.575556081657656,9859.062053356476,9809.766743089695,-49.29531026678238,-0.01362630404694515,-1.0
2020-01-09T02:00:00+00:00,2020-01-09T02:15:00.000000+0000,8028.29214,2020-01-09T03:15:00.000000+0000,7943.153724635549,long,0.4851043520306878,7947.127288279688,8178.945423440622,stop_loss,3.8945594564877637,3.8532584406694723,9809.766743089695,9760.717909374245,-49.04883371544847,-0.012594193069447255,-0.9999999999999999
2020-01-09T07:45:00+00:00,2020-01-09T08:00:00.000000+0000,7945.595215,2020-01-09T16:15:00.000000+0000,7846.144844236941,short,0.6256229748270243,8003.648133814622,7842.223732370756,take_profit,4.97094691517967,4.9087284783752345,9760.717909374245,9813.056670785127,52.33876141088075,0.010528931872326988,1.0724367182175056
2020-01-09T20:45:00+00:00,2020-01-09T21:00:00.000000+0000,7816.060015000001,2020-01-10T10:15:00.000000+0000,7680.87876335747,short,0.5303021308688852,7888.929878382074,7677.040243235852,take_profit,4.1448732809535915,4.073186375154035,9813.056670785127,9876.525516928576,63.4688461434494,0.015312614365100063,1.2935591482398185
2020-01-10T16:45:00+00:00,2020-01-10T17:00:00.000000+0000,7948.253885,2020-01-10T18:00:00.000000+0000,8048.536624929095,short,0.4246889147057475,8044.514367745222,7768.921264509554,stop_loss,3.375535316226391,3.418124284210597,9876.525516928576,9827.142889343933,-49.382627584642876,-0.014629569226326196,-1.0
2020-01-10T22:30:00+00:00,2020-01-10T22:45:00.000000+0000,8088.892425,2020-01-11T21:30:00.000000+0000,8277.667504849578,long,0.40235012583782603,7986.835795472947,8281.808409054105,take_profit,3.254566885087388,3.330520562219911,9827.142889343933,9896.51147902915,69.36858968521611,0.021314230782309918,1.4117753342212205
2020-01-12T02:30:00+00:00,2020-01-12T02:45:00.000000+0000,8106.23109,2020-01-14T00:30:00.000000+0000,8221.149083727689,long,0.5944643677432282,8043.15914270751,8225.26171458498,take_profit,4.81886553969735,4.887180192181,9896.51147902915,9955.120085780922,58.608606751772285,0.012162324569747845,1.184429622013065
2020-01-14T10:30:00+00:00,2020-01-14T10:45:00.000000+0000,8514.03489,2020-01-14T12:30:00.000000+0000,8611.777192026606,long,0.6418200207990298,8457.677382678035,8616.085234643928,take_profit,5.464478050183466,5.527211016503126,9955.120085780922,10006.861363033895,51.74127725297415,0.00946865863085258,1.039490770721634
2020-01-14T13:00:00+00:00,2020-01-14T13:15:00.000000+0000,8547.891810000001,2020-01-14T14:15:00.000000+0000,8661.095699602849,long,0.5640506442555506,8480.450793095124,8665.428413809754,take_profit,4.821443882457245,4.8852966093199655,10006.861363033895,10061.00734940484,54.145986370943426,0.011230242991721385,1.0821772063508905
